WO,Machine_categori,Machine_description,Instruction,Short_description,Technicians_description,Spareparts,Costumer_mistake_mads,Invoiced
WO041017,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Meget gerne i dag Maskinen udleverer ikke mælk Det lyder sådan men der kommer ikke noget ,Meget gerne i dag Maskinen udleverer ikke mælk Det lyder sådan men der kommer ikke noget,,,Nej,Nej
WO040980,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Der løber vand under maskinen ved rengøring drypbakke er skubbet helt ind Der ser tøt ud bag ved kakaodækslet ,Der løber vand under maskinen ved rengøring drypbakke er skubbet helt ind Der ser tøt ud bag ved kakaodækslet,,,Ja,Nej
WO040970,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS,Indmeldern mente at der stod watherflow error inden fejlen forsvandt fra display,Indmeldern mente at der stod watherflow error inden fejlen forsvandt fradisplay,ASA Meldt ind af Pia fra Kontra,,Nej,Nej
WO040993,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Når de tager kakao kommer der kaffe med Der skal kun udleveres kakao Kan ikke lave mælke foam ,Når de tager kakao kommer der kaffe med Der skal kun udleveres kakao Kan ikke lave mælke foam,BCA Talt med HKN for uddybelse inden fakturering HKN kunden har fyldt formalet kaffe i kakaoen ,132878;119414,Nej,Ja
WO040974,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS TC,Maskine i receptionen tag gerne mærkat med så serienummer kan skrives på siden af maskinen Mælkedrikke giver ikke nok skummer ikke som den plejer Er sket løbende over de sidste to ugers tid ,Maskine i receptionen tag gerne mærkat med så serienummer kan skrives på siden af maskinenMælkedrikke giver ikke nok skummer ikke som den plejer Er sket løbende over de sidste to ugers tid,HKN har mærkater med SN sat på deres 5 maskinen ,,Måske,Nej
WO040950,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Maskinen drypper en del vand under bunden efter service i går ,Maskinen drypper en del vand under bunden efter service i går,,,Nej,Nej
WO040954,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS,Melder koger ikke klar har prøvet at genstarte maskinen ,Melder koger ikke klar har prøvet at genstarte maskinen,,,Måske,Nej
WO040825,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Kakao stopper til og løber ud af maskine ,Kakao stopper til og løber ud af maskine,Meldt ind af CD Koptæller er 25604,124748,Måske,Nej
WO040933,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,"Maskine vil ikke fuldføre rens og ""lyder mærkelig"" ","Maskine vil ikke fuldføre rens og ""lyder mærkelig""",KAR 27 2 kunde bør betale min 50% da fejl skyldes manglende vand til maskine Må gerne efterses så snart som muligt Hun var ikke ved maskinen hun havde fået det på en seddel fra rengøringen Står i Fox and Hounds Kan placering evt blive reg ,,Ja,Ja
WO040893,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2,Tekniker noter maskinens serienr Maskinen vil ikke kværne bønner Kunde har tjekket at beholder sidder korrekt på,Tekniker noter maskinens serienrMaskinen vil ikke kværne bønner Kunde har tjekket at beholder sidder korrekt på,BCA ventil 130302268 blev nedreg ved optælling i oktober 2023 TO havde overset den i bilen og den er derfor opreg igen Maskine står i Morgenmadsrestauranten Kode til Tekniker Maskinen kan ikke kværne bønnerne Alle kaffeprodukter Løsningsforslag se fejlkodedokument,107944;127135;127791,Nej,Nej
WO040931,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P TC,Efter eftersyn er kaffen meget bitter Den er langosm til at udlevere kaffe ,Efter eftersyn er kaffen meget bitter Den er langosm til at udlevere kaffe,ASA max siger at det kan vente til at vi er i området ,,Måske,Nej
WO040901,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,"Larmer meget når den kværner samt i ""den stærke latte"" kommer der kun 1 shot i i stedet for normalt 2 shots ","Larmer meget når den kværner samt i ""den stærke latte"" kommer der kun 1 shot i i stedet for normalt 2 shots",,,Nej,Nej
WO040859,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Kommer vand bagtil maskine Vidste ikke i hvilken forbindelse men har oplevet det før ,Kommer vand bagtil maskine Vidste ikke i hvilken forbindelse men har oplevet det før,Der var dårlig forbindelse så lidt svært at få fejlmelding ,,Ja,Ja
WO040889,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Utæt under rens under maskinen Som om vandrør ikke er monteret ordenligt,Utæt under rens under maskinen Som om vandrør ikke er monteret ordenligt,Kode til Tekniker Utæt i forbindelse med rengøringsprocessen På bordpladen Spildbakken Løsningsforslag se fejlkodedokument,,Nej,Nej
WO040856,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,De far fået tilsendt 128896 Mælkeslange lang BW4 TP U B men skal have hjælp til at montere den ,De far fået tilsendt 128896 Mælkeslange lang BW4 TP U B men skal have hjælp til at montere den,,,Ja,Nej
WO040864,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P TC extern grums,ved tryk på kaffe kværner den men komme ringen vand Melder der blev ikke registret vandflow ved kakao og thevand kommer der fint vand og kakao ud ,ved tryk på kaffe kværner den men komme ringen vand Melder der blev ikke registret vandflow ved kakao og thevand kommer der fint vand og kakao ud,,132102;132878,Nej,Nej
WO040869,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Kan ikke køre rens går i stå i nr 7,Kan ikke køre rens går i stå i nr 7,Ring Mario 25782929 for at komme ind hvis der erlåst Der er en nøgleboks,101212,Nej,Nej
WO040862,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Vand på bordet ved rens samt ved bryg og muligvis også ved kakao Der kommer så meget vand at hun ikke kan se hvorfra ,Vand på bordet ved rens samt ved bryg og muligvis også ved kakao Der kommer så meget vand at hun ikke kan se hvorfra,,,Ja,Ja
WO040858,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Utæt under rens vand under bunden de lægger et viskestykke til vi har været forbi ,Utæt under rens vand under bunden de lægger et viskestykke til vi har været forbi,indtelefoneret af 51296499 kunden er ok med vi kommer i starten af næste uge uge 9 ,,Ja,Nej
WO040846,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2,Besøg i dag Ligger meget vand under maskine og bordplade gulv Ligner at afløbsslange er faldet af ,Besøg i dag Ligger meget vand under maskine og bordplade gulv Ligner at afløbsslange er faldet af,Ellers kontakt Marianne hvis ikke besøg i dag Hun har forsøgt at efterspænde ved afløb i underskabet men det drypper fortsat ,,Måske,Nej
WO040782,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Melder water flow error og kaffe smager bittert  Ligger også forbyggende service til denne maskine ,Melder water flow error og kaffe smager bittertLigger også forbyggende service til denne maskine,Meldt ind af Christian fra kontra  Ligger også forbyggende service til denne maskine ,,Nej,Nej
WO040768,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Der er trukket eftersyn på denne maskine Kopper med kakao bliver overfyldt Begyndte i sidste uge at kopper med kakao bliver mere og mere fyldte ,Der er trukket eftersyn på denne maskineKopper med kakao bliver overfyldt Begyndte i sidste uge at kopper med kakao bliver mere og mere fyldte,,120555,Nej,Nej
WO040821,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Kakaomixer larmer meget ved rengøringsprogram Motor skiftes  Jens Ole,Kakaomixer larmer meget ved rengøringsprogramMotor skiftes Jens Ole,,127732,Måske,Nej
WO040763,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2,Kontakt Marianne ved besøg Spildbakke bliver overfyldt når de laver rengøring Kan ikke se at den er stoppet ,Kontakt Marianne ved besøg Spildbakke bliver overfyldt når de laver rengøring Kan ikke se at den er stoppet,ASA Vi var på besøg dagen efter da maskine var utæt Denne er derfor U B ,,Måske,Nej
WO040725,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P TC,Ved rengøring sprøjter det med vand og gulvet er vådt Spildbakke er ikke overfyldt ,Ved rengøring sprøjter det med vand og gulvet er vådt Spildbakke er ikke overfyldt,,126257,Nej,Nej
WO040764,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Ring og info tid for besøg Løber over i mixerskål for kakao når den laver kakao go ved rengøringsprogram Mixerskål er rengjort ,Ring og info tid for besøgLøber over i mixerskål for kakao når den laver kakao go ved rengøringsprogram Mixerskål er rengjort,Kode til tekniker Kakao flyder over Kakaotragten er forsøgt rengjort Se løsningsforslag i fejlkodedokumentet,,Ja,Nej
WO040747,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Maskinen laver kun halve kopper når den skal lave latte ,Maskinen laver kun halve kopper når den skal lave latte,,126326;127791,Nej,Nej
WO040722,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Ring Mario inden besøg 25 78 29 29 Maskinen går i stå med rengøring hver anden dag og nu vil den ikke mere ,Ring Mario inden besøg 25 78 29 29 Maskinen går i stå med rengøring hver anden dag og nu vil den ikke mere,Ring Mario inden besøg 25 78 29 29 ,,Nej,Nej
WO040721,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,Skummer ikke mælk som anden maskine Renset og skiftet til letmælk mælk som anden maskine men stadig ikke meget skum Mælken virker ikke så varmt ,Skummer ikke mælk som anden maskine Renset og skiftet til letmælk mælk som anden maskine men stadig ikke meget skum Mælken virker ikke så varmt,,,Nej,Nej
WO040662,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P TC,Stopper til under mixerskål for kakao Mixerskål er rengjort flere gange ,Stopper til under mixerskål for kakao Mixerskål er rengjort flere gange,Kode til tekniker Kakao flyder over Kakaotragten er forsøgt rengjort Se løsningsforslag i fejlkodedokumentet,,Ja,Nej
WO040657,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,I weekenden løb der vand ud af maskinen Her til morgen gik den i står i step 1 i rengøringen ,I weekenden løb der vand ud af maskinen Her til morgen gik den i står i step 1 i rengøringen,Det er en slange fra brugt hylden der er brugt til maskinen   Kode til tekniker Maskinen bliver ved med at køre i trin 1 af rengøringsprogrammet uden at fortsætte til næste trin Ingen vand i rengøringsbeholder i køleskabet Se løsningsforslag i fejlkodedokumentet,,Nej,Nej
WO040664,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,Flere kollegaer har uafhængigt sagt at kaffe og cappuccino smager bittert ,Flere kollegaer har uafhængigt sagt at kaffe og cappuccino smager bittert,,,Nej,Nej
WO040672,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS TC,Maskinen kværner meget langsomt og er meget langsom til at lave kaffe ,Maskinen kværner meget langsomt og er meget langsom til at lave kaffe,Husk at notere placering af maskine ,,Nej,Nej
WO040055,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,Maskinen er gået i sort ,Maskinen er gået i sort,MASKINEN ER FLYTTET FRA HUL 19 TIL NY KAFFEBAR I MORGENMADS RESTAURANT   MASKINEN ER I DRIFT HAR LÅNT EN SKÆRM ,137823,Nej,Nej
WO040551,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P TC,Når vi tænder den og trykke for at lave den første kaffe rengøring så går der en sikring i maskinen og den går i sort Først troede vi det bare drejede sig om en sikring men vi fandt ud af det faktisk kun er maskinen strømmen går på ,Når vi tænder den og trykke for at lave den første kaffe rengøring så går der en sikring i maskinen og den går i sort Først troede vi det bare drejede sig om en sikring men vi fandt ud af det faktisk kun er maskinen strømmen går på,SOH Jeg har ved en fejl ikke lagt arbejdstid ind for lørdag men bare alm arbejdstid Varmelegemet er noteret på modulet men modulets SN er ikke at finde i denne WO Modulets serienummer er SN#100177094  OBS Der ligger en WO på Bw4c lille eftersyn på team PKC  Ligger i Hirtshals lørdag d 17 02 2024 mellem kl 11 00 15 00 ,125778,Nej,Nej
WO040608,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Kontakt hvis ikke besøg i dag Flere kunder har klaget over tynd kaffedrikke med mælk Det ligner at den måske ikke kværner så mange bønner ,Kontakt hvis ikke besøg i dag Flere kunder har klaget over tynd kaffedrikke med mælk Det ligner at den måske ikke kværner så mange bønner,Tlf er hovednummer men tast 2 til Aarhus afdeling ,,Nej,Nej
WO040605,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Stopper til i kakaotragt og vand løber ud inde i maskine Forsøgt at tage tragt ud og rengøre men ser tilstoppet ud ,Stopper til i kakaotragt og vand løber ud inde i maskine Forsøgt at tage tragt ud og rengøre men ser tilstoppet ud,,,Ja,Ja
WO040566,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS TC,Vand under maskine måske ved slanger Er rengjort i morges men vidste ikke hvornår væske var kommet ,Vand under maskine måske ved slanger Er rengjort i morges men vidste ikke hvornår væske var kommet,,127140,Nej,Nej
WO040486,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Ring og meld forventet ankomst Kakao svømmer over når de kører rengøring tilstoppet et eller andet sted ,Ring og meld forventet ankomstKakao svømmer over når de kører rengøring tilstoppet et eller andet sted,Kode til tekniker Giver ikke kakao Kakaotragten er ren Kakaobeholderen er fuld Se løsningsforslag i fejlkodedokumentet,,Ja,Ja
WO040553,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Der løber vand ud under maskinen ,Der løber vand ud under maskinen,Kunde bør betale min 50%,,Ja,Ja
WO040565,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,Ønsker besøg i dag Mælken er ikke skummet Der kommer ikke så meget i mælkedrikke ,Ønsker besøg i dagMælken er ikke skummet Der kommer ikke så meget i mælkedrikke,Ønsker besøg i dag ,120701,Nej,Nej
WO040558,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,"Maskinen melder ""Stempel fejl"" ved rengøring Kan ikke køre rengøring på maskinen ","Maskinen melder ""Stempel fejl"" ved rengøring Kan ikke køre rengøring på maskinen",OBS DA JEG KOM TIL KUNDEN VAR DER STRØM NEDBRUD I ALLE DERES BYGNINGER DER VILLE GÅ CA 2 TIMER FØR DER VAR STRØM  JEG SKIFTEDE BRYGMOTOR MEN KUNNE IKKE TESTE MASKINEN KUNDEN HAR RINGET OG SAGT AT MASKINEN VIRKER  BRYGMOTOR ER FRA BRUGTHYLDE PÅ VÆRKSTEDET ,,Nej,Nej
WO040494,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Maskinen er begyndt at støje både når den står uden at lave noget under rens og under udlevering Den kan høres tydeligt flere meter væk selv når den intet laver Ved afslutning af rens lyder det nærmest som en løs skrue eller noget Kunden vil gerne have denne efterset ,Maskinen er begyndt at støje både når den står uden at lave noget under rens og under udlevering Den kan høres tydeligt flere meter væk selv når den intet laver Ved afslutning af rens lyder det nærmest som en løs skrue eller noget Kunden vil gerne have denne efterset,Efter udført service fortæller Jens Ole at det er i step 8 at maskinen larmer Han sender video til KAR,124748,Nej,Nej
WO040564,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS,Kan ikke færdiggøre rengøring vil ikke registrere grumseskuffe når de tømmer denne samt muligvis problemer med rød rensenøgle ,Kan ikke færdiggøre rengøring vil ikke registrere grumseskuffe når de tømmer denne samt muligvis problemer med rød rensenøgle,Han var ikke sikker på om noget var knækket ved den røde rensenøgle ,133555,Ja,Nej
WO040541,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Stopper til i kakao og forsøgt med rengøring af kakaomodul Men kommer kun mælk ud mixer stopper stadig til ,Stopper til i kakao og forsøgt med rengøring af kakaomodul Men kommer kun mælk ud mixer stopper stadig til,Står på 1 sal ved Arbejdernes landsbank,,Ja,Nej
WO040542,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Stoppet til under mixerskål for kakao ,Stoppet til under mixerskål for kakao,Kode til tekniker Kakao flyder over Kakaotragten er forsøgt rengjort Se løsningsforslag i fejlkodedokumentet,,Ja,Nej
WO040533,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Gerne snarest muligt Når de laver kaffe er 2 ud af 3 kopper dårlige som om mælken er sur De har renset men det hjælper ikke Skifter i løbet af dagen om koppen er god eller dårlig ,Gerne snarest muligt Når de laver kaffe er 2 ud af 3 kopper dårlige som om mælken er sur De har renset men det hjælper ikke Skifter i løbet af dagen om koppen er god eller dårlig,Skulle hilse og sige at der er stegt flæsk til frokost ,127791,Nej,Nej
WO040471,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Kakao er tilstoppet Mixerskål er forsøgt rengjort uden held ,Kakao er tilstoppet Mixerskål er forsøgt rengjort uden held,Kode til tekniker Giver ikke kakao Kakaotragten er ren Kakaobeholderen er fuld Se løsningsforslag i fejlkodedokumentet,,Ja,Nej
WO040483,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Kommer vand ud under maskinen Hun vidste ikke hvornår eller hvor men at det måske er venstre side Heidi ringer og oplyser at den også larmer meget ved bryg af kakao NRB 14 2,Kommer vand ud under maskinen Hun vidste ikke hvornår eller hvor men at det måske er venstre side Heidi ringer og oplyser at den også larmer meget ved bryg af kakao NRB 14 2,Ligger også eftersyn og regenerering ,124748;131816,Ja,Nej
WO040468,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS,Spildbakke flyder ofte over ved rengøring samt meget vand i grumseskuffe Forsøgt at efterse i spildbakke og rengøre men flyder over igen ,Spildbakke flyder ofte over ved rengøring samt meget vand i grumseskuffe Forsøgt at efterse i spildbakke og rengøre men flyder over igen,,,Måske,Nej
WO040459,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Udleverer nogle gange kun lidt vand ved kakao Andre gange udleveres ingenting og der er kakao inde ved mixerskålen Mixerskålen er forsøgt rengjort uden det hjalp ,Udleverer nogle gange kun lidt vand ved kakao Andre gange udleveres ingenting og der er kakao inde ved mixerskålen Mixerskålen er forsøgt rengjort uden det hjalp,Kode til tekniker Kakao flyder over Kakaotragten er forsøgt rengjort Se løsningsforslag i fejlkodedokumentet,126257;127140,Ja,Nej
WO040480,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Kakao udleveres under maskinen ikke i koppen ,Kakao udleveres under maskinen ikke i koppen,kd har talt med JP ,,Ja,Nej
WO040436,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2,Beder om rengøring oftere og oftere Rengjorde maskine i går eftermiddags og i dag til formiddag beder den igen Har ofte dette problem at den beder om rengøring næste morgen De vil gerne at den beder rengøring til eftermiddag ,Beder om rengøring oftere og oftere Rengjorde maskine i går eftermiddags og i dag til formiddag beder den igen Har ofte dette problem at den beder om rengøring næste morgen De vil gerne at den beder rengøring til eftermiddag,Oplyst hende at mælkesystem skulle bede om rengøring 26 timer og kaffesystem efter 52 timer Har ofte dette problem at den beder om rengøring næste morgen De vil gerne at den beder rengøring til eftermiddag ,,Ja,Nej
WO040430,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P TC extern grums,Maskine vil ikke tage vand ind kan ikke starte rengøring ,Maskine vil ikke tage vand ind kan ikke starte rengøring,Kunne ikke tjekke om vand var åbent for ,132878;126959;126753R;101224;127791,Nej,Nej
WO040370,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Ring hvis det kan løses forklares over telefon Når de tager nøglerne ud til rens kommer der en tyktflydende væske beskidt vand ud ,Ring hvis det kan løses forklares over telefon Når de tager nøglerne ud til rens kommer der en tyktflydende væske beskidt vand ud,Ring hvis det kan løses forklares over telefon,125723;125723,Nej,Nej
WO040427,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Maskinen vil ikke starte rengøring Har ikke virket hele weekenden ,Maskinen vil ikke starte rengøring Har ikke virket hele weekenden,Der er sager på begge maskiner på adressen KAR kunde er selv skyld i at maskinen ikke har virket da HKN fredag 9 2 spurgte ind til hvorfor maskinen var ude af drift Uden at nogen tog stilling til rep ,,Ja,Nej
WO040428,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Står og drypper meget hele tiden under ved drypbakke Har forsøgt at tage drypbakke af og på samt kørt rens ,Står og drypper meget hele tiden under ved drypbakke Har forsøgt at tage drypbakke af og på samt kørt rens,SOH 12 2 2024 Reservedelen er skiftet på modulet men ikke registreret på module da modulet SN er ulæseligt ,127140,Nej,Nej
WO040426,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Maskine laver verdens tyndeste kaffe og trænger til et tjek ,Maskine laver verdens tyndeste kaffe og trænger til et tjek,laver sager på begge maskiner,,Nej,Nej
WO040345,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Kakaomixer stoppet der kommer vand på bordet Kasper,Kakaomixer stoppet der kommer vand på bordetKasper,,,Ja,Ja
WO040366,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2,Meget gerne besøg i dag fredag Maskinen melder fejl på koger og de kan ikke trykke på display ,Meget gerne besøg i dag fredag Maskinen melder fejl på koger og de kan ikke trykke på display,Meget gerne besøg i dag fredag ,,Måske,Nej
WO040251,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,Kunde har haft vandskade og maskine står og drypper Vil gerne have besøg hurtigst muligt for at tjekke om maskine kan reddes De har slukket for maskine ,Kunde har haft vandskade og maskine står og drypper Vil gerne have besøg hurtigst muligt for at tjekke om maskine kan reddes De har slukket for maskine,ASA Denne er afsluttet U B Skal faktureres på WO040613 Jeg har sendt mail til AA angående kunde muligvis skal have ny maskine hvis denne ikke kan reddes Kunde er i kontakt med forsikring OBS Forsikringssag = Kunden forsikringen betaler for alt STR ,,Ja,Nej
WO040309,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Der løber vand ud under maskine ifm rengøring Umiddelbart hvor afløbsslangen sidder fast på maskinen ,Der løber vand ud under maskine ifm rengøring Umiddelbart hvor afløbsslangen sidder fast på maskinen,,,Nej,Nej
WO040380,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,tilstoppet i kakao og laver vandflowfejl ,tilstoppet i kakao og laver vandflowfejl,HKN kunden har slukket for køleskab og af monteret mælkeslanger der er ikke nogen der ved hvorfor Mollie sidder i møde Så aftalt at de skal vende tilbage da dr har højsæson i næste uge ,,Måske,Nej
WO040269,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Lækker meget vand under bryg og skyl Står og drypper hele tiden Ligner det er fortil ved en slange ,Lækker meget vand under bryg og skyl Står og drypper hele tiden Ligner det er fortil ved en slange,,125393;140435,Nej,Nej
WO040272,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS TC,Ønsker skift af mælkeslange der er også regenerering på denne maskine ,Ønsker skift af mælkeslange der er også regenerering på denne maskine,,,Ja,Nej
WO040267,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,De kan ikke kører renseprogram Rød stift er knækket i rensenøgle KAR har set billede fra Denise De vil gerne have det lavet asap ,De kan ikke kører renseprogram Rød stift er knækket i rensenøgle KAR har set billede fra DeniseDe vil gerne have det lavet asap,Der er brugt ekstra tid ifb salgsarbejde ,133555,Ja,Nej
WO040270,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS TC,Mælkeslange er beskidt inde i Ønsker den udskiftet Der er også regenerering på denne maskine ,Mælkeslange er beskidt inde i Ønsker den udskiftet Der er også regenerering på denne maskine,,127166,Ja,Nej
WO040271,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS TC,Mælkeslange er beskidt inde i ,Mælkeslange er beskidt inde i,,127166,Ja,Nej
WO040274,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS TC,Ønsker mælkeslange skiftet Der er også regenerering på denne maskine ,Ønsker mælkeslange skiftet Der er også regenerering på denne maskine,,127166,Ja,Nej
WO040263,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Kan ikke rigtig piske skum den laver en noget tynd version,Kan ikke rigtig piske skum den laver en noget tynd version,Meldt ind af Christian Collet fra Kontra,,Nej,Nej
WO040217,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Drypper hele tiden under maskine ved slange ,Drypper hele tiden under maskine ved slange,,,Nej,Nej
WO040219,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,Drypper meget vand under rens i venstre side Synes at spildbakke sidder mere løst i venstre side ,Drypper meget vand under rens i venstre side Synes at spildbakke sidder mere løst i venstre side,Der er bemanding fra kl 9,127140,Nej,Nej
WO040180,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS TC,Maskinen melder vandflowfejl genganger ,Maskinen melder vandflowfejl genganger,,,Nej,Nej
WO040165,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Ved skyld kommer der vand inde i maskine Tragt bliver fyldt med vand forsøgt med rengøring Sidste uge har den meldt vandflowfejl Kan udlevere kaffe men oplever meget vand inde i maskine ,Ved skyld kommer der vand inde i maskine Tragt bliver fyldt med vand forsøgt med rengøring Sidste uge har den meldt vandflowfejl Kan udlevere kaffe men oplever meget vand inde i maskine,,,Nej,Nej
WO040208,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2,Kaffe er udover det hele ved udlevering Ligner der mangler noget ved udløbshoved ,Kaffe er udover det hele ved udlevering Ligner der mangler noget ved udløbshoved,,,Ja,Nej
WO040195,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Vores kaffemaskine lægger vand under billede i hændelse note ,Vores kaffemaskine lægger vand under billede i hændelse note,HKN kunden havde rengjort kakao mixerhus Så det var ingen lækager ved ankomst men modul trængte til rengøring Maskinen skulle have regørings program ,,Ja,Nej
WO040183,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Utæt under bunden maskinen ,Utæt under bunden maskinen,ASA Kakaodel ser rigtig fin og ren ud Fik ikke navn måske Rie talte ikke helt dansk tlf var 32860100,,Ja,Nej
WO040161,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P TC,Blå mælketabs bliver ikke opløst selvom den beder om dem Først når de sætter renseprogram anden gang lige efter opløser den de blå ,Blå mælketabs bliver ikke opløst selvom den beder om dem Først når de sætter renseprogram anden gang lige efter opløser den de blå,,,Ja,Ja
WO040186,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P TC,"Melder ingen mælk Begge ""slanger"" er helt nede i mælken ","Melder ingen mælk Begge ""slanger"" er helt nede i mælken",,128896;127751,Nej,Nej
WO040188,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Tager sikringen ,Tager sikringen,Meldt ind til AOK,107286,Nej,Nej
WO040164,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Der er også Wo på tilføjeelse af drikke Ved rengøring og når de tager kakao løber der vand ud af maskinen i højre side Tror selv det er afløbet der er toppet Der løber ikke vand over kant på spildbakke ,Der er også Wo på tilføjeelse af drikkeVed rengøring og når de tager kakao løber der vand ud af maskinen i højre side Tror selv det er afløbet der er toppet Der løber ikke vand over kant på spildbakke,Tæller er 31286 ASA rettet koptal i egenskaber,,Ja,Ja
WO040177,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Fejl på mælkepumpe ,Fejl på mælkepumpe,Oprettet for SOH pålagt silikoneslange for SOH NRB,126326;140720,Nej,Nej
