WO,Maskinkategori,Maskinbeskrivelse,Instruktion,Short_description,Teknikker_description,Reservedele,Kundefejl_mads,Faktureret
WO040608,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Kontakt hvis ikke besøg i dag Flere kunder har klaget over tynd kaffedrikke med mælk Det ligner at den måske ikke kværner så mange bønner,Kontakt hvis ikke besøg i dag Flere kunder har klaget over tynd kaffedrikke med mælk Det ligner at den måske ikke kværner så mange bønner,Kontakt hvis ikke besøg i dag Flere kunder har klaget over tynd kaffedrikke med mælk Det ligner at den måske ikke kværner så mange bønner,,Nej,Nej
WO040605,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Stopper til i kakaotragt og vand løber ud inde i maskine Forsøgt at tage tragt ud og rengøre men ser tilstoppet ud,Stopper til i kakaotragt og vand løber ud inde i maskine Forsøgt at tage tragt ud og rengøre men ser tilstoppet ud,Stopper til i kakaotragt og vand løber ud inde i maskine Forsøgt at tage tragt ud og rengøre men ser tilstoppet ud,,Ja,Ja
WO040566,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS TC,Vand under maskine måske ved slanger Er rengjort i morges men vidste ikke hvornår væske var kommet,Vand under maskine måske ved slanger Er rengjort i morges men vidste ikke hvornår væske var kommet,Vand under maskine måske ved slanger Er rengjort i morges men vidste ikke hvornår væske var kommet,127140,Nej,Nej
WO040486,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Ring og meld forventet ankomstKakao svømmer over når de kører rengøring tilstoppet et eller andet sted,Ring og meld forventet ankomstKakao svømmer over når de kører rengøring tilstoppet et eller andet sted,Ring og meld forventet ankomstKakao svømmer over når de kører rengøring tilstoppet et eller andet sted,,Ja,Ja
WO040553,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Der løber vand ud under maskinen,Der løber vand ud under maskinen,Der løber vand ud under maskinen,,Ja,Ja
WO040565,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,Ønsker besøg i dagMælken er ikke skummet Der kommer ikke så meget i mælkedrikke,Ønsker besøg i dagMælken er ikke skummet Der kommer ikke så meget i mælkedrikke,Ønsker besøg i dagMælken er ikke skummet Der kommer ikke så meget i mælkedrikke,120701,Nej,Nej
WO040558,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,"Maskinen melder ""Stempel fejl"" ved rengøring Kan ikke køre rengøring på maskinen","Maskinen melder ""Stempel fejl"" ved rengøring Kan ikke køre rengøring på maskinen","Maskinen melder ""Stempel fejl"" ved rengøring Kan ikke køre rengøring på maskinen",,Nej,Nej
WO040494,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Maskinen er begyndt at støje både når den står uden at lave noget under rens og under udlevering Den kan høres tydeligt flere meter væk selv når den intet laver Ved afslutning af rens lyder det nærmest som en løs skrue eller noget Kunden vil gerne have denne efterset,Maskinen er begyndt at støje både når den står uden at lave noget under rens og under udlevering Den kan høres tydeligt flere meter væk selv når den intet laver Ved afslutning af rens lyder det nærmest som en løs skrue eller noget Kunden vil gerne have denne efterset,Maskinen er begyndt at støje både når den står uden at lave noget under rens og under udlevering Den kan høres tydeligt flere meter væk selv når den intet laver Ved afslutning af rens lyder det nærmest som en løs skrue eller noget Kunden vil gerne have denne efterset,124748,Nej,Nej
WO040564,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS,Kan ikke færdiggøre rengøring vil ikke registrere grumseskuffe når de tømmer denne samt muligvis problemer med rød rensenøgle,Kan ikke færdiggøre rengøring vil ikke registrere grumseskuffe når de tømmer denne samt muligvis problemer med rød rensenøgle,Kan ikke færdiggøre rengøring vil ikke registrere grumseskuffe når de tømmer denne samt muligvis problemer med rød rensenøgle,133555,Ja,Nej
WO040541,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Stopper til i kakao og forsøgt med rengøring af kakaomodul Men kommer kun mælk ud mixer stopper stadig til,Stopper til i kakao og forsøgt med rengøring af kakaomodul Men kommer kun mælk ud mixer stopper stadig til,Stopper til i kakao og forsøgt med rengøring af kakaomodul Men kommer kun mælk ud mixer stopper stadig til,,Ja,Nej
WO040542,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Stoppet til under mixerskål for kakao,Stoppet til under mixerskål for kakao,Stoppet til under mixerskål for kakao,,Ja,Nej
WO040533,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Gerne snarest muligt Når de laver kaffe er 2 ud af 3 kopper dårlige som om mælken er sur De har renset men det hjælper ikke Skifter i løbet af dagen om koppen er god eller dårlig,Gerne snarest muligt Når de laver kaffe er 2 ud af 3 kopper dårlige som om mælken er sur De har renset men det hjælper ikke Skifter i løbet af dagen om koppen er god eller dårlig,Gerne snarest muligt Når de laver kaffe er 2 ud af 3 kopper dårlige som om mælken er sur De har renset men det hjælper ikke Skifter i løbet af dagen om koppen er god eller dårlig,127791,Nej,Nej
WO040471,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Kakao er tilstoppet Mixerskål er forsøgt rengjort uden held,Kakao er tilstoppet Mixerskål er forsøgt rengjort uden held,Kakao er tilstoppet Mixerskål er forsøgt rengjort uden held,,Ja,Nej
WO040483,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Kommer vand ud under maskinen Hun vidste ikke hvornår eller hvor men at det måske er venstre side Heidi ringer og oplyser at den også larmer meget ved bryg af kakao NRB 14 2,Kommer vand ud under maskinen Hun vidste ikke hvornår eller hvor men at det måske er venstre side Heidi ringer og oplyser at den også larmer meget ved bryg af kakao NRB 14 2,Kommer vand ud under maskinen Hun vidste ikke hvornår eller hvor men at det måske er venstre side Heidi ringer og oplyser at den også larmer meget ved bryg af kakao NRB 14 2,124748;131816,Ja,Nej
WO040468,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS,Spildbakke flyder ofte over ved rengøring samt meget vand i grumseskuffe Forsøgt at efterse i spildbakke og rengøre men flyder over igen,Spildbakke flyder ofte over ved rengøring samt meget vand i grumseskuffe Forsøgt at efterse i spildbakke og rengøre men flyder over igen,Spildbakke flyder ofte over ved rengøring samt meget vand i grumseskuffe Forsøgt at efterse i spildbakke og rengøre men flyder over igen,,Måske,Nej
WO040459,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Udleverer nogle gange kun lidt vand ved kakao Andre gange udleveres ingenting og der er kakao inde ved mixerskålen Mixerskålen er forsøgt rengjort uden det hjalp,Udleverer nogle gange kun lidt vand ved kakao Andre gange udleveres ingenting og der er kakao inde ved mixerskålen Mixerskålen er forsøgt rengjort uden det hjalp,Udleverer nogle gange kun lidt vand ved kakao Andre gange udleveres ingenting og der er kakao inde ved mixerskålen Mixerskålen er forsøgt rengjort uden det hjalp,126257;127140,Ja,Nej
WO040480,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Kakao udleveres under maskinen ikke i koppen,Kakao udleveres under maskinen ikke i koppen,Kakao udleveres under maskinen ikke i koppen,,Ja,Nej
WO040436,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2,Beder om rengøring oftere og oftere Rengjorde maskine i går eftermiddags og i dag til formiddag beder den igen Har ofte dette problem at den beder om rengøring næste morgen De vil gerne at den beder rengøring til eftermiddag,Beder om rengøring oftere og oftere Rengjorde maskine i går eftermiddags og i dag til formiddag beder den igen Har ofte dette problem at den beder om rengøring næste morgen De vil gerne at den beder rengøring til eftermiddag,Beder om rengøring oftere og oftere Rengjorde maskine i går eftermiddags og i dag til formiddag beder den igen Har ofte dette problem at den beder om rengøring næste morgen De vil gerne at den beder rengøring til eftermiddag,,Ja,Nej
WO040430,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P TC extern grums,Maskine vil ikke tage vand ind kan ikke starte rengøring,Maskine vil ikke tage vand ind kan ikke starte rengøring,Maskine vil ikke tage vand ind kan ikke starte rengøring,132878;126959;126753R;101224;127791,Nej,Nej
WO040370,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Ring hvis det kan løses forklares over telefon Når de tager nøglerne ud til rens kommer der en tyktflydende væske beskidt vand ud,Ring hvis det kan løses forklares over telefon Når de tager nøglerne ud til rens kommer der en tyktflydende væske beskidt vand ud,Ring hvis det kan løses forklares over telefon Når de tager nøglerne ud til rens kommer der en tyktflydende væske beskidt vand ud,125723;125723,Nej,Nej
WO040427,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Maskinen vil ikke starte rengøring Har ikke virket hele weekenden,Maskinen vil ikke starte rengøring Har ikke virket hele weekenden,Maskinen vil ikke starte rengøring Har ikke virket hele weekenden,,Ja,Nej
WO040428,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Står og drypper meget hele tiden under ved drypbakke Har forsøgt at tage drypbakke af og på samt kørt rens,Står og drypper meget hele tiden under ved drypbakke Har forsøgt at tage drypbakke af og på samt kørt rens,Står og drypper meget hele tiden under ved drypbakke Har forsøgt at tage drypbakke af og på samt kørt rens,127140,Nej,Nej
WO040426,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Maskine laver verdens tyndeste kaffe og trænger til et tjek,Maskine laver verdens tyndeste kaffe og trænger til et tjek,Maskine laver verdens tyndeste kaffe og trænger til et tjek,,Nej,Nej
WO040345,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Kakaomixer stoppet der kommer vand på bordetKasper,Kakaomixer stoppet der kommer vand på bordetKasper,Kakaomixer stoppet der kommer vand på bordetKasper,,Ja,Ja
WO040366,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2,Meget gerne besøg i dag fredag Maskinen melder fejl på koger og de kan ikke trykke på display,Meget gerne besøg i dag fredag Maskinen melder fejl på koger og de kan ikke trykke på display,Meget gerne besøg i dag fredag Maskinen melder fejl på koger og de kan ikke trykke på display,,Måske,Nej
WO040251,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,Kunde har haft vandskade og maskine står og drypper Vil gerne have besøg hurtigst muligt for at tjekke om maskine kan reddes De har slukket for maskine,Kunde har haft vandskade og maskine står og drypper Vil gerne have besøg hurtigst muligt for at tjekke om maskine kan reddes De har slukket for maskine,Kunde har haft vandskade og maskine står og drypper Vil gerne have besøg hurtigst muligt for at tjekke om maskine kan reddes De har slukket for maskine,,Ja,Nej
WO040309,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Der løber vand ud under maskine ifm rengøring Umiddelbart hvor afløbsslangen sidder fast på maskinen,Der løber vand ud under maskine ifm rengøring Umiddelbart hvor afløbsslangen sidder fast på maskinen,Der løber vand ud under maskine ifm rengøring Umiddelbart hvor afløbsslangen sidder fast på maskinen,,Nej,Nej
WO040380,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,tilstoppet i kakao og laver vandflowfejl,tilstoppet i kakao og laver vandflowfejl,tilstoppet i kakao og laver vandflowfejl,,Måske,Nej
WO040269,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Lækker meget vand under bryg og skyl Står og drypper hele tiden Ligner det er fortil ved en slange,Lækker meget vand under bryg og skyl Står og drypper hele tiden Ligner det er fortil ved en slange,Lækker meget vand under bryg og skyl Står og drypper hele tiden Ligner det er fortil ved en slange,125393;140435,Nej,Nej
WO040272,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS TC,Ønsker skift af mælkeslange der er også regenerering på denne maskine,Ønsker skift af mælkeslange der er også regenerering på denne maskine,Ønsker skift af mælkeslange der er også regenerering på denne maskine,,Ja,Nej
WO040267,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,De kan ikke kører renseprogram Rød stift er knækket i rensenøgle KAR har set billede fra DeniseDe vil gerne have det lavet asap,De kan ikke kører renseprogram Rød stift er knækket i rensenøgle KAR har set billede fra DeniseDe vil gerne have det lavet asap,De kan ikke kører renseprogram Rød stift er knækket i rensenøgle KAR har set billede fra DeniseDe vil gerne have det lavet asap,133555,Ja,Nej
WO040270,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS TC,Mælkeslange er beskidt inde i Ønsker den udskiftet Der er også regenerering på denne maskine,Mælkeslange er beskidt inde i Ønsker den udskiftet Der er også regenerering på denne maskine,Mælkeslange er beskidt inde i Ønsker den udskiftet Der er også regenerering på denne maskine,127166,Ja,Nej
WO040271,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS TC,Mælkeslange er beskidt inde i,Mælkeslange er beskidt inde i,Mælkeslange er beskidt inde i,127166,Ja,Nej
WO040274,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS TC,Ønsker mælkeslange skiftet Der er også regenerering på denne maskine,Ønsker mælkeslange skiftet Der er også regenerering på denne maskine,Ønsker mælkeslange skiftet Der er også regenerering på denne maskine,127166,Ja,Nej
WO040263,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Kan ikke rigtig piske skum den laver en noget tynd version,Kan ikke rigtig piske skum den laver en noget tynd version,Kan ikke rigtig piske skum den laver en noget tynd version,,Nej,Nej
WO040217,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Drypper hele tiden under maskine ved slange,Drypper hele tiden under maskine ved slange,Drypper hele tiden under maskine ved slange,,Nej,Nej
WO040219,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,Drypper meget vand under rens i venstre side Synes at spildbakke sidder mere løst i venstre side,Drypper meget vand under rens i venstre side Synes at spildbakke sidder mere løst i venstre side,Drypper meget vand under rens i venstre side Synes at spildbakke sidder mere løst i venstre side,127140,Nej,Nej
WO040180,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS TC,Maskinen melder vandflowfejl genganger,Maskinen melder vandflowfejl genganger,Maskinen melder vandflowfejl genganger,,Nej,Nej
WO040165,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Ved skyld kommer der vand inde i maskine Tragt bliver fyldt med vand forsøgt med rengøring Sidste uge har den meldt vandflowfejl Kan udlevere kaffe men oplever meget vand inde i maskine,Ved skyld kommer der vand inde i maskine Tragt bliver fyldt med vand forsøgt med rengøring Sidste uge har den meldt vandflowfejl Kan udlevere kaffe men oplever meget vand inde i maskine,Ved skyld kommer der vand inde i maskine Tragt bliver fyldt med vand forsøgt med rengøring Sidste uge har den meldt vandflowfejl Kan udlevere kaffe men oplever meget vand inde i maskine,,Nej,Nej
WO040208,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2,Kaffe er udover det hele ved udlevering Ligner der mangler noget ved udløbshoved,Kaffe er udover det hele ved udlevering Ligner der mangler noget ved udløbshoved,Kaffe er udover det hele ved udlevering Ligner der mangler noget ved udløbshoved,,Ja,Nej
WO040195,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Vores kaffemaskine lægger vand under billede i hændelse note,Vores kaffemaskine lægger vand under billede i hændelse note,Vores kaffemaskine lægger vand under billede i hændelse note,,Ja,Nej
WO040183,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Utæt under bunden maskinen,Utæt under bunden maskinen,Utæt under bunden maskinen,,Ja,Nej
WO040161,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P TC,Blå mælketabs bliver ikke opløst selvom den beder om dem Først når de sætter renseprogram anden gang lige efter opløser den de blå,Blå mælketabs bliver ikke opløst selvom den beder om dem Først når de sætter renseprogram anden gang lige efter opløser den de blå,Blå mælketabs bliver ikke opløst selvom den beder om dem Først når de sætter renseprogram anden gang lige efter opløser den de blå,,Ja,Ja
WO040186,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P TC,"Melder ingen mælk Begge ""slanger"" er helt nede i mælken","Melder ingen mælk Begge ""slanger"" er helt nede i mælken","Melder ingen mælk Begge ""slanger"" er helt nede i mælken",128896;127751,Nej,Nej
WO040188,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Tager sikringen,Tager sikringen,Tager sikringen,107286,Nej,Nej
WO040164,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Der er også Wo på tilføjeelse af drikkeVed rengøring og når de tager kakao løber der vand ud af maskinen i højre side Tror selv det er afløbet der er toppet Der løber ikke vand over kant på spildbakke,Der er også Wo på tilføjeelse af drikkeVed rengøring og når de tager kakao løber der vand ud af maskinen i højre side Tror selv det er afløbet der er toppet Der løber ikke vand over kant på spildbakke,Der er også Wo på tilføjeelse af drikkeVed rengøring og når de tager kakao løber der vand ud af maskinen i højre side Tror selv det er afløbet der er toppet Der løber ikke vand over kant på spildbakke,,Ja,Ja
WO040177,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Fejl på mælkepumpe,Fejl på mælkepumpe,Fejl på mælkepumpe,126326;140720,Nej,Nej
WO040138,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Maskinen melder stempelfejl,Maskinen melder stempelfejl,Maskinen melder stempelfejl,126676,Nej,Nej
WO040158,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,Skærmen flimrer øverste venstre hjørne Genstart er forsøgt,Skærmen flimrer øverste venstre hjørne Genstart er forsøgt,Skærmen flimrer øverste venstre hjørne Genstart er forsøgt,,Nej,Nej
WO040139,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS,Vil ikke registrere rød rensenøgle Mener at den måske er knækket,Vil ikke registrere rød rensenøgle Mener at den måske er knækket,Vil ikke registrere rød rensenøgle Mener at den måske er knækket,133555,Ja,Nej
WO040148,BW4c CTM2 PF,Thermoplan Kaffemaskine BW4c CTM2 PF RS TC,Vil ikke udlevere kaffe Ingen fejlmeddelelser Udleverer fint tevand men beder om rengøring igen og igen,Vil ikke udlevere kaffe Ingen fejlmeddelelser Udleverer fint tevand men beder om rengøring igen og igen,Vil ikke udlevere kaffe Ingen fejlmeddelelser Udleverer fint tevand men beder om rengøring igen og igen,,Måske,Nej
WO039943,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,Maskine i det lille køkkenDer er mug i mælkeslange kan ikke vaskes væk,Maskine i det lille køkkenDer er mug i mælkeslange kan ikke vaskes væk,Maskine i det lille køkkenDer er mug i mælkeslange kan ikke vaskes væk,140720,Ja,Nej
WO040078,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P TC,Kaffen udleveres imellem det sorte plastik der holder kaffeudløbet og det sølvfarvet plastik der er helt foran på udleveringshovedet Se billede Kaffeudløb er muligvis blevet væk,Kaffen udleveres imellem det sorte plastik der holder kaffeudløbet og det sølvfarvet plastik der er helt foran på udleveringshovedet Se billede Kaffeudløb er muligvis blevet væk,Kaffen udleveres imellem det sorte plastik der holder kaffeudløbet og det sølvfarvet plastik der er helt foran på udleveringshovedet Se billede Kaffeudløb er muligvis blevet væk,126257,Ja,Ja
WO040110,BW4c CTM2 PF,Thermoplan Kaffemaskine BW4c CTM2 PF RS TC,Vand løber ud af maskinen når de kører rengøring,Vand løber ud af maskinen når de kører rengøring,Vand løber ud af maskinen når de kører rengøring,134385;127140,Nej,Nej
WO040098,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,Slår HPFI Kontakt Camilla ved besøg,Slår HPFI Kontakt Camilla ved besøg,Slår HPFI Kontakt Camilla ved besøg,,Nej,Nej
WO040081,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Vandflowfejl kommer og vil ikke udlevere noget Skulle være åbent for vand,Vandflowfejl kommer og vil ikke udlevere noget Skulle være åbent for vand,Vandflowfejl kommer og vil ikke udlevere noget Skulle være åbent for vand,,Nej,Nej
WO040012,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS TC,Løber meget vand ud fortil ved rens Har selv tjekket spilbakke og spændt en slange,Løber meget vand ud fortil ved rens Har selv tjekket spilbakke og spændt en slange,Løber meget vand ud fortil ved rens Har selv tjekket spilbakke og spændt en slange,107944;107944,Nej,Nej
WO039997,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Er stadig utæt efter serviceeftersyn Kørte også på utæthed 15 1 som var efter servicebesøg,Er stadig utæt efter serviceeftersyn Kørte også på utæthed 15 1 som var efter servicebesøg,Er stadig utæt efter serviceeftersyn Kørte også på utæthed 15 1 som var efter servicebesøg,127135;127751,Nej,Nej
WO040037,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Røde pind bag rensenøgle er knækket,Røde pind bag rensenøgle er knækket,Røde pind bag rensenøgle er knækket,133555,Ja,Nej
WO040025,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Stopper til under mixerskål for kakao,Stopper til under mixerskål for kakao,Stopper til under mixerskål for kakao,,Ja,Ja
WO039972,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS,Melder vand flowfejl,Melder vand flowfejl,Melder vand flowfejl,129070;127076;115953,Nej,Nej
WO040007,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Maskine melder vandflow fejl og sprøjter meget ved udlevering Kommer næsten ingenting i koppen,Maskine melder vandflow fejl og sprøjter meget ved udlevering Kommer næsten ingenting i koppen,Maskine melder vandflow fejl og sprøjter meget ved udlevering Kommer næsten ingenting i koppen,,Nej,Nej
WO039975,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Vil ikke udlevere kakao Rengøring har forsøgt at skille kakao ad,Vil ikke udlevere kakao Rengøring har forsøgt at skille kakao ad,Vil ikke udlevere kakao Rengøring har forsøgt at skille kakao ad,127732,Ja,Nej
WO039962,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS, Der skal indlæses pauseskræm Find billedet i teams fælles recepter og kaffestandarder… Maskinen er utæt som drypper vand på bordet, Der skal indlæses pauseskræm Find billedet i teams fælles recepter og kaffestandarder… Maskinen er utæt som drypper vand på bordet, Der skal indlæses pauseskræm Find billedet i teams fælles recepter og kaffestandarder… Maskinen er utæt som drypper vand på bordet,127140,Nej,Nej
WO039978,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,Skærmen blinker flimrer er genstartet flere gange uden det hjælper,Skærmen blinker flimrer er genstartet flere gange uden det hjælper,Skærmen blinker flimrer er genstartet flere gange uden det hjælper,,Nej,Nej
WO039941,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,Melder flowerror efter der er taget tevand,Melder flowerror efter der er taget tevand,Melder flowerror efter der er taget tevand,1449089;108082;127140,Nej,Nej
WO039892,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Der er takten til cacao der er stoppet når den køre rense program stopper den mellem 7 8 og så bliver den oversvømmet så der løber meget vand ud ud af den Og hvis man trækker cacao så kommer der ikke noget ud det bliver fanget i tragten,Der er takten til cacao der er stoppet når den køre rense program stopper den mellem 7 8 og så bliver den oversvømmet så der løber meget vand ud ud af den Og hvis man trækker cacao så kommer der ikke noget ud det bliver fanget i tragten,Der er takten til cacao der er stoppet når den køre rense program stopper den mellem 7 8 og så bliver den oversvømmet så der løber meget vand ud ud af den Og hvis man trækker cacao så kommer der ikke noget ud det bliver fanget i tragten,,Ja,Nej
WO039959,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Skummer ikke mælken rigtigt,Skummer ikke mælken rigtigt,Skummer ikke mælken rigtigt,,Nej,Nej
WO039928,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Indmeldt af 23434499 pinden i den røde rensenøgle er knækket,Indmeldt af 23434499 pinden i den røde rensenøgle er knækket,Indmeldt af 23434499 pinden i den røde rensenøgle er knækket,133555,Ja,Ja
WO039931,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P TC,Røde pind bag rensenøgle er knækket,Røde pind bag rensenøgle er knækket,Røde pind bag rensenøgle er knækket,133555,Ja,Nej
WO039882,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Stopper til i mixerskål for kakao Rengøring er forsøgt,Stopper til i mixerskål for kakao Rengøring er forsøgt,Stopper til i mixerskål for kakao Rengøring er forsøgt,,Ja,Ja
WO039848,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Når de tager kaffe løber der vand ud under maskinen,Når de tager kaffe løber der vand ud under maskinen,Når de tager kaffe løber der vand ud under maskinen,127140,Nej,Nej
WO039853,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS,Er ude af drift kan ikke køre rengøringsprogram på den da der løber vand ud af maskinenVed rengøring i morges løb der meget vand ud på bordetRensebeholder bliver også helt fyldt ved rengøringsprogramVi var tidligere ude på utæthed og den er stadig utæt i løbet af dagen,Er ude af drift kan ikke køre rengøringsprogram på den da der løber vand ud af maskinenVed rengøring i morges løb der meget vand ud på bordetRensebeholder bliver også helt fyldt ved rengøringsprogramVi var tidligere ude på utæthed og den er stadig utæt i løbet af dagen,Er ude af drift kan ikke køre rengøringsprogram på den da der løber vand ud af maskinenVed rengøring i morges løb der meget vand ud på bordetRensebeholder bliver også helt fyldt ved rengøringsprogramVi var tidligere ude på utæthed og den er stadig utæt i løbet af dagen,136318;125723;126284;127140,Nej,Nej
WO039855,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS,Maskinen er utæt under bunden,Maskinen er utæt under bunden,Maskinen er utæt under bunden,127140,Nej,Nej
WO039869,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P TC,Drypper vand under maskine forrest både under rengøring og i løbet af dagen Drypbakke er helt inde på plads,Drypper vand under maskine forrest både under rengøring og i løbet af dagen Drypbakke er helt inde på plads,Drypper vand under maskine forrest både under rengøring og i løbet af dagen Drypbakke er helt inde på plads,,Ja,Ja
WO039756,BW4c CTM2 PF,Thermoplan Kaffemaskine BW4c CTM2 PF RS TC,Kommer ingen kakao flyder over inde i maskine og ligner motor er tilstoppet,Kommer ingen kakao flyder over inde i maskine og ligner motor er tilstoppet,Kommer ingen kakao flyder over inde i maskine og ligner motor er tilstoppet,,Ja,Nej
WO039812,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS TC,Melder at bønnebeholder 2 er tom Er fyldt og forsøgt at efter ved beholder,Melder at bønnebeholder 2 er tom Er fyldt og forsøgt at efter ved beholder,Melder at bønnebeholder 2 er tom Er fyldt og forsøgt at efter ved beholder,,Ja,Ja
WO039817,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Udlevere ud af 1 dyse Udlevere meget langsomt Har forsøgt med rengøring uden held,Udlevere ud af 1 dyse Udlevere meget langsomt Har forsøgt med rengøring uden held,Udlevere ud af 1 dyse Udlevere meget langsomt Har forsøgt med rengøring uden held,,Nej,Nej
WO039806,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Efter service i forgårs smager kaffen mærkeligt Som om der ikke kommer nok bønner i,Efter service i forgårs smager kaffen mærkeligt Som om der ikke kommer nok bønner i,Efter service i forgårs smager kaffen mærkeligt Som om der ikke kommer nok bønner i,,Nej,Nej
WO039778,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS,Skriver igen mælketemperatur for høj selvom det er en ny kold mælk de sætter i,Skriver igen mælketemperatur for høj selvom det er en ny kold mælk de sætter i,Skriver igen mælketemperatur for høj selvom det er en ny kold mælk de sætter i,,Ja,Ja
